Example,Abstract,Target Title,Generated Title
1,This study proposes joint models for intent detection and slot filling in spoken language understand...,Joint Intent and Slot Filling for Spoken Language Understanding,this study proposes joint models for intent detection and slot filling in spoken language understanding.
2,We investigate knowledge distillation techniques that transfer capabilities from large language mode...,Knowledge Distillation from Large Language Models to Compact Students,knowledge distillation techniques transfer capabilities from large language models to compact student models for efficient deployment.
3,This paper develops multi-objective optimization algorithms for neural architecture search that bala...,Multi-Objective Optimization for Neural Architecture Search,this paper develops multi-objective optimization algorithms for neural architecture search.
4,"We apply neural radiance fields to novel view synthesis, generating photorealistic images of 3D scen...",Neural Radiance Fields for Novel View Synthesis in 3D Scenes,neural radiance fields are applied to view synthesis. we generate photorealistic images of 3D scenes using implicit representations.
5,This study investigates open-vocabulary object detection methods that identify arbitrary object cate...,Open-Vocabulary Object Detection Using Vision-Language Models,open-vocabulary object detection methods identify arbitrary object categories described by natural language using vision-language models.
6,"We develop deep learning models for predictive maintenance in manufacturing, forecasting equipment f...",Predictive Maintenance in Manufacturing Using Deep Learning Models,deep learning models for predictive maintenance in manufacturing. forecasting equipment failures from sensor data to minimize downtime.
7,"This work applies transformer models to query-focused multi-document summarization, generating conci...",Query-Focused Multi-Document Summarization Using Transformers,this work applies transformer models to query-focused multi-document summarization. summaries address specific information needs.
8,We propose efficient neural network architectures for real-time object detection on edge devices wit...,Real-Time Object Detection on Edge Devices Using Efficient Networks,we propose efficient neural network architectures for real-time object detection on edge devices with limited computational resources and power budgets.
9,This study investigates self-supervised learning methods for visual representation learning that gen...,Self-Supervised Learning for Representation Learning in Computer Vision,study investigates self-supervised learning methods for visual representation learning.
10,"We compare extractive and abstractive text summarization methods, proposing hybrid approaches that c...",Text Summarization Using Extractive and Abstractive Methods,we compare extractive and abstract text summarization methods. we propose hybrid approaches that combine sentence selection with neural generation.
11,This paper develops uncertainty-aware deep learning models for autonomous driving perception that es...,Uncertainty-Aware Deep Learning for Safe Autonomous Driving,this paper develops uncertainty-aware deep learning models for autonomous driving perception.
12,We investigate visual-language pretraining objectives that learn joint representations of images and...,Visual-Language Pretraining for Image-Text Understanding Tasks,visual-language pretraining objectives learn joint representations of images and text for downstream vision-language understanding tasks.
13,This study proposes class activation map techniques for weakly supervised object localization that p...,Weakly Supervised Object Localization Using Class Activation Maps,class activation map techniques for weakly supervised object localization predict bounding boxes from image-level classification labels.
14,We explore zero-shot transfer learning methods for cross-domain image classification that adapt mode...,Zero-Shot Transfer Learning for Cross-Domain Image Classification,cross-domain image classification is a tool for cross-domain image classification. we explore zero-shot transfer learning methods.
15,We develop a neural model that converts informal social media text to standard written form for down...,Neural Text Normalization for Converting Informal Text to Standard Form,neural model converts informal social media text to standard written form. neural model is used to convert informal text to standard written form.
